"eNB","cell","radio","lat","lon","lat_1_re","lon_1_re"
"29426","17","1.8GHz(20M)","37:35.35/273","127:02.59/436",37.587883,127.049843
"29426","18","1.8GHz(20M)","37:35.37/45 ","127:3.1/298",37.590833,127.050361
"29426","2","800MHz","37:35.46/223","127:03.18/034",37.58705,127.055009
"29426","21","2.1GHz(20M)","37:35.41/657","127:3.22/554",37.594283,127.056265
"29426","22","2.1GHz(20M)","37:35.38/223","127:03.19/034",37.58705,127.055287
"29426","25","2.1GHz(20M)","37:35.32/642","127:3.11/282",37.594033,127.053134
"29426","27","2.1GHz(20M)","37:35.35/273","127:02.59/436",37.587883,127.049843
"29426","28","2.1GHz(20M)","37:35.38/810","127:3.11/250",37.596833,127.053125
"29426","4","800MHz","37:35.43/625","127:3.27/921",37.59375,127.057756
"29426","45","2.6GHz","37:35.32/749","127:03.11/379",37.595817,127.053161
"29426","5","800MHz","37:35.32/64 ","127:3.11/28 ",37.594,127.053133
"29426","7","800MHz","37:35.35/273","127:02.59/436",37.587883,127.049843
"29426","8","800MHz","37:35.37/45 ","127:3.1/298",37.590833,127.050361
"29427","1","800MHz","37:35.58/0  ","127:4.7/64 ",37.583333,127.068789
"29427","11","1.8GHz(20M)","37:35.58/0  ","127:4.7/64 ",37.583333,127.068789
"29427","12","1.8GHz(20M)","37:35.59/48 ","127:4.2/59 ",37.591333,127.067386
"29427","14","1.8GHz(20M)","37:36.2/84 ","127:3.50/57 ",37.614,127.064047
"29427","15","1.8GHz(20M)","37:35.45/620","127:3.56/90 ",37.593667,127.065806
"29427","17","1.8GHz(20M)","37:35.48/350","127:03.53/500",37.589167,127.064861
"29427","18","1.8GHz(20M)","37:35.51/81 ","127:3.55/26 ",37.596833,127.06535
"29427","2","800MHz","37:35.59/48 ","127:4.2/59 ",37.591333,127.067386
"29427","21","2.1GHz(20M)","37:36.3/550","127:4.6/290",37.609167,127.068414
"29427","22","2.1GHz(20M)","37:35.59/480","127:4.2/590",37.591333,127.067386
"29427","24","2.1GHz(20M)","37:35.58/840","127:3.50/570",37.597333,127.064047
"29427","25","2.1GHz(20M)","37:35.45/620","127:3.56/90 ",37.593667,127.065806
"29427","28","2.1GHz(20M)","37:35.51/810","127:3.55/260",37.596833,127.06535
"29427","4","800MHz","37:36.2/84 ","127:3.50/57 ",37.614,127.064047
"29427","42","2.6GHz","37:35.59/547","127:04.02/681",37.59245,127.067411
"29427","44","2.6GHz","37:35.58/092","127:03.50/689",37.584867,127.06408
"29427","45","2.6GHz","37:35.45/780","127:03.56/170",37.596333,127.065603
"29427","48","2.6GHz","37:35.51/869","127:03.55/096",37.597817,127.065304
"29427","5","800MHz","37:35.45/620","127:3.56/90 ",37.593667,127.065806
"29427","7","800MHz","37:35.48/350","127:3.53/500",37.589167,127.064861
"29427","8","800MHz","37:35.51/81 ","127:3.55/26 ",37.596833,127.06535
"29428","1","800MHz","37:35.43/268","127:3.46/485",37.5878,127.062912
"29428","11","1.8GHz(20M)","37:35.43/268","127:3.46/485",37.5878,127.062912
"29428","12","1.8GHz(20M)","37:35.40/29 ","127:3.46/68 ",37.588167,127.062967
"29428","14","1.8GHz(20M)","37:35.48/654","127:3.49/474",37.594233,127.063743
"29428","15","1.8GHz(20M)","37:35.49/42 ","127:3.44/94 ",37.590333,127.062483
"29428","17","1.8GHz(20M)","37:35.43/191","127:03.47/852",37.586517,127.063292
"29428","18","1.8GHz(20M)","37:35.43/191","127:03.47/852",37.586517,127.063292
"29428","2","800MHz","37:35.40/29 ","127:3.46/68 ",37.588167,127.062967
"29428","21","2.1GHz(20M)","37:35.43/268","127:3.46/485",37.5878,127.062912
"29428","22","2.1GHz(20M)","37:35.40/292","127:3.46/682",37.5882,127.062967
"29428","24","2.1GHz(20M)","37:35.48/654","127:3.49/474",37.594233,127.063743
"29428","25","2.1GHz(20M)","37:35.49/422","127:3.44/942",37.590367,127.062484
"29428","27","2.1GHz(20M)","37:35.43/191","127:03.47/852",37.586517,127.063292
"29428","28","2.1GHz(20M)","37:35.43/191","127:03.47/852",37.586517,127.063292
"29428","4","800MHz","37:35.48/654","127:3.49/474",37.594233,127.063743
"29428","41","2.6GHz","37:35.44/038","127:03.46/017",37.583967,127.062783
"29428","42","2.6GHz","37:35.40/517","127:03.46/929",37.59195,127.063036
"29428","44","2.6GHz","37:35.50/677","127:03.46/742",37.594617,127.062984
"29428","45","2.6GHz","37:35.49/420","127:03.44/888",37.590333,127.062469
"29428","5","800MHz","37:35.49/42 ","127:3.44/94 ",37.590333,127.062483
"29428","7","800MHz","37:35.43/191","127:03.47/852",37.586517,127.063292
"29428","8","800MHz","37:35.43/191","127:03.47/852",37.586517,127.063292
"29429","1","800MHz","37:34.48/20 ","127:2.51/780",37.57,127.047717
"29429","11","1.8GHz(20M)","37:34.48/20 ","127:2.51/780",37.57,127.047717
"29429","12","1.8GHz(20M)","37:34.48/20 ","127:2.51/780",37.57,127.047717
"29429","14","1.8GHz(20M)","37:35.22/500","127:03.40/857",37.591667,127.061349
"29429","15","1.8GHz(20M)","37:34.29/471","127:2.40/441",37.574517,127.044567
"29429","17","1.8GHz(20M)","37:34.29/471","127:02.40/441",37.574517,127.044567
"29429","18","1.8GHz(20M)","37:34.31/590","127:02.27/890",37.5765,127.041081
"29429","2","800MHz","37:34.48/20 ","127:2.51/780",37.57,127.047717
"29429","21","2.1GHz(20M)","37:34.45/20 ","127:2.47/780",37.57,127.046606
"29429","22","2.1GHz(20M)","37:34.45/20 ","127:2.47/780",37.57,127.046606
"29429","24","2.1GHz(20M)","37:35.22/500","127:03.40/857",37.591667,127.061349
"29429","25","2.1GHz(20M)","37:34.29/471","127:2.40/441",37.574517,127.044567
"29429","27","2.1GHz(20M)","37:34.29/471","127:02.40/441",37.574517,127.044567
"29429","4","800MHz","37:35.22/500","127:03.40/857",37.591667,127.061349
"29429","5","800MHz","37:34.29/471","127:2.40/441",37.574517,127.044567
"29429","7","800MHz","37:34.29/471","127:02.40/441",37.574517,127.044567
"29429","8","800MHz","37:34.31/590","127:02.27/890",37.5765,127.041081
"29430","1","800MHz","37:35.53/749","127:03.16/116",37.595817,127.054477
"29430","11","1.8GHz(20M)","37:35.53/749","127:03.16/116",37.595817,127.054477
"29430","12","1.8GHz(20M)","37:35.53/657","127:3.19/554",37.594283,127.055432
"29430","14","1.8GHz(20M)","37:35.37/657","127:3.2/554",37.594283,127.050709
"29430","15","1.8GHz(20M)","37:35.46/223","127:03.11/034",37.58705,127.053065
"29430","17","1.8GHz(20M)","37:35.46/65 ","127:3.11/668",37.594167,127.053241
"29430","18","1.8GHz(20M)","37:35.51/267","127:03.24/381",37.587783,127.056772
"29430","2","800MHz","37:35.53/960","127:3.19/50 ",37.599333,127.055417
"29430","21","2.1GHz(20M)","37:35.53/749","127:03.16/116",37.595817,127.054477
"29430","22","2.1GHz(20M)","37:35.31/657","127:3.19/554",37.594283,127.055432
"29430","24","2.1GHz(20M)","37:35.31/657","127:3.19/554",37.594283,127.055432
"29430","25","2.1GHz(20M)","37:35.50/223","127:03.17/034",37.58705,127.054732
"29430","27","2.1GHz(20M)","37:35.41/942","127:3.7/322",37.599033,127.052034
"29430","28","2.1GHz(20M)","37:35.51/267","127:03.24/381",37.587783,127.056772
"29430","4","800MHz","37:35.46/350","127:3.19/450",37.589167,127.055403
"29430","5","800MHz","37:35.46/223","127:03.11/034",37.58705,127.053065
"29430","7","800MHz","37:35.52/250","127:3.13/560",37.5875,127.053767
"29430","8","800MHz","37:35.51/267","127:03.24/381",37.587783,127.056772
"29431","1","800MHz","37:35.58/69 ","127:3.50/28 ",37.594833,127.063967
"29431","11","1.8GHz(20M)","37:36.2/69 ","127:3.50/28 ",37.6115,127.063967
"29431","12","1.8GHz(20M)","37:36.8/41 ","127:3.42/59 ",37.606833,127.061831
"29431","14","1.8GHz(20M)","37:35.46/128","127:3.37/77 ",37.585467,127.060492
"29431","15","1.8GHz(20M)","37:35.52/49 ","127:3.41/359",37.5915,127.061489
"29431","17","1.8GHz(20M)","37:36.5/710","127:3.53/580",37.611833,127.064883
"29431","18","1.8GHz(20M)","37:35.56/34 ","127:3.47/2  ",37.589,127.063111
"29431","2","800MHz","37:36.8/410","127:3.42/590",37.606833,127.061831
"29431","21","2.1GHz(20M)","37:36.2/690","127:3.50/280",37.6115,127.063967
"29431","22","2.1GHz(20M)","37:36.8/405","127:3.42/646",37.60675,127.061846
"29431","24","2.1GHz(20M)","37:35.46/128","127:3.37/77 ",37.585467,127.060492
"29431","25","2.1GHz(20M)","37:35.52/490","127:3.41/359",37.5915,127.061489
"29431","27","2.1GHz(20M)","37:36.5/710","127:3.53/580",37.611833,127.064883
"29431","4","800MHz","37:35.46/128","127:3.37/77 ",37.585467,127.060492
"29431","41","2.6GHz","37:36.02/840","127:03.50/730",37.614,127.064092
"29431","42","2.6GHz","37:36.08/405","127:03.42/646",37.60675,127.061846
"29431","44","2.6GHz","37:35.46/261","127:03.37/132",37.587683,127.060314
"29431","45","2.6GHz","37:35.52/747","127:03.41/376",37.595783,127.061493
"29431","47","2.6GHz","37:36.05/710","127:03.53/580",37.611833,127.064883
"29431","48","2.6GHz","37:35.56/565","127:03.47/255",37.59275,127.063126
"29431","5","800MHz","37:35.52/490","127:3.41/359",37.5915,127.061489
"29431","7","800MHz","37:36.5/710","127:3.53/580",37.611833,127.064883
"29431","8","800MHz","37:35.56/340","127:3.47/200",37.589,127.063111
"29432","1","800MHz","37:36.19/580","127:03.59/640",37.609667,127.066567
"29432","11","1.8GHz(20M)","37:36.19/580","127:03.59/640",37.609667,127.066567
"29432","12","1.8GHz(20M)","37:35.50/010","127:04.03/036",37.5835,127.06751
"29432","14","1.8GHz(20M)","37:36.11/260","127:03.58/410",37.604333,127.066225
"29432","15","1.8GHz(20M)","37:36.17/657","127:3.49/336",37.61095,127.063704
"29432","17","1.8GHz(20M)","37:36.17/657","127:3.49/336",37.61095,127.063704
"29432","18","1.8GHz(20M)","37:35.20/730","127:3.15/630",37.5955,127.054342
"29432","2","800MHz","37:35.50/010","127:04.03/036",37.5835,127.06751
"29432","21","2.1GHz(20M)","37:36.19/580","127:03.59/640",37.609667,127.066567
"29432","22","2.1GHz(20M)","37:36.05/550","127:04.02/025",37.609167,127.067229
"29432","24","2.1GHz(20M)","37:36.11/260","127:03.58/410",37.604333,127.066225
"29432","25","2.1GHz(20M)","37:36.15/940","127:3.50/310",37.615667,127.063975
"29432","27","2.1GHz(20M)","37:36.17/657","127:3.54/336",37.61095,127.065093
"29432","28","2.1GHz(20M)","37:35.20/730","127:3.15/630",37.5955,127.054342
"29432","4","800MHz","37:36.11/260","127:03.58/410",37.604333,127.066225
"29432","45","2.6GHz","37:36.15/084","127:03.50/559",37.6014,127.064044
"29432","47","2.6GHz","37:36.17/084","127:03.55/559",37.6014,127.065433
"29432","48","2.6GHz","37:35.20/755","127:03.15/494",37.595917,127.054304
"29432","5","800MHz","37:36.15/940","127:3.50/310",37.615667,127.063975
"29432","7","800MHz","37:36.17/0  ","127:3.54/64 ",37.6,127.065178
"29432","8","800MHz","37:35.20/730","127:3.15/630",37.5955,127.054342
"29433","1","800MHz","37:35.11/800","127:2.51/940",37.596667,127.047761
"29433","11","1.8GHz(20M)","37:35.11/8  ","127:2.51/94 ",37.596667,127.047761
"29433","12","1.8GHz(20M)","37:35.21/51 ","127:2.49/7  ",37.591833,127.047139
"29433","14","1.8GHz(20M)","37:35.11/800","127:2.51/940",37.596667,127.047761
"29433","15","1.8GHz(20M)","37:35.11/700","127:2.46/485",37.595,127.046246
"29433","17","1.8GHz(20M)","37:35.15/42 ","127:2.36/25 ",37.590333,127.043403
"29433","18","1.8GHz(20M)","37:35.11/42 ","127:2.34/25 ",37.590333,127.042847
"29433","2","800MHz","37:35.21/51 ","127:2.49/7  ",37.591833,127.047139
"29433","21","2.1GHz(20M)","37:35.11/800","127:2.51/940",37.596667,127.047761
"29433","22","2.1GHz(20M)","37:35.21/510","127:2.49/700",37.591833,127.047139
"29433","24","2.1GHz(20M)","37:35.11/800","127:2.51/940",37.596667,127.047761
"29433","25","2.1GHz(20M)","37:35.11/700","127:2.46/485",37.595,127.046246
"29433","27","2.1GHz(20M)","37:35.15/650","127:2.36/500",37.594167,127.043472
"29433","28","2.1GHz(20M)","37:35.11/422","127:2.34/252",37.590367,127.042848
"29433","4","800MHz","37:35.11/800","127:2.51/940",37.596667,127.047761
"29433","41","2.6GHz","37:35.10/697","127:02.51/940",37.59495,127.047761
"29433","42","2.6GHz","37:35.20/290","127:02.49/203",37.588167,127.047001
"29433","44","2.6GHz","37:35.10/697","127:02.52/164",37.59495,127.047823
"29433","48","2.6GHz","37:35.11/507","127:02.34/317",37.591783,127.042866
"29433","5","800MHz","37:35.11/700","127:2.46/485",37.595,127.046246
"29433","7","800MHz","37:35.15/65 ","127:2.36/50 ",37.594167,127.043472
"29433","8","800MHz","37:35.12/316","127:2.34/184",37.5886,127.042829
"29434","1","800MHz","37:35.34/225","127:03.56/614",37.587083,127.065726
"29434","11","1.8GHz(20M)","37:35.34/225","127:03.56/614",37.587083,127.065726
"29434","12","1.8GHz(20M)","37:35.32/658","127:03.42/945",37.5943,127.061929
"29434","14","1.8GHz(20M)","37:35.32/530","127:03.42/340",37.592167,127.061761
"29434","15","1.8GHz(20M)","37:35.21/841","127:3.31/851",37.59735,127.058848
"29434","17","1.8GHz(20M)","37:35.28/000","127:03.38/000",37.583333,127.060556
"29434","18","1.8GHz(20M)","37:35.25/17 ","127:3.31/11 ",37.586167,127.058642
"29434","2","800MHz","37:35.32/650","127:03.42/930",37.594167,127.061925
"29434","22","2.1GHz(20M)","37:35.32/658","127:03.38/945",37.5943,127.060818
"29434","24","2.1GHz(20M)","37:35.32/530","127:03.42/340",37.592167,127.061761
"29434","27","2.1GHz(20M)","37:35.28/932","127:03.38/223",37.598867,127.060618
"29434","28","2.1GHz(20M)","37:35.25/170","127:3.31/110",37.586167,127.058642
"29434","4","800MHz","37:35.32/520","127:03.42/330",37.592,127.061758
"29434","42","2.6GHz","37:35.32/412","127:03.38/823",37.5902,127.060784
"29434","44","2.6GHz","37:35.32/577","127:03.42/326",37.59295,127.061757
"29434","45","2.6GHz","37:35.22/180","127:03.31/639",37.586333,127.058789
"29434","48","2.6GHz","37:35.25/393","127:03.31/035",37.589883,127.058621
"29434","5","800MHz","37:35.21/841","127:3.31/851",37.59735,127.058848
"29434","7","800MHz","37:35.28/000","127:03.38/000",37.583333,127.060556
"29434","8","800MHz","37:35.25/170","127:3.31/110",37.586167,127.058642
"29435","1","800MHz","37:35.25/772","127:04.01/371",37.5962,127.067048
"29435","11","1.8GHz(20M)","37:35.25/772","127:04.01/371",37.5962,127.067048
"29435","12","1.8GHz(20M)","37:35.16/960","127:03.46/820",37.599333,127.063006
"29435","14","1.8GHz(20M)","37:35.22/500","127:03.40/857",37.591667,127.061349
"29435","15","1.8GHz(20M)","37:35.22/500","127:03.40/857",37.591667,127.061349
"29435","17","1.8GHz(20M)","37:35.30/36 ","127:3.59/57 ",37.589333,127.066547
"29435","18","1.8GHz(20M)","37:35.30/36 ","127:3.59/57 ",37.589333,127.066547
"29435","2","800MHz","37:35.16/960","127:03.46/810",37.599333,127.063003
"29435","21","2.1GHz(20M)","37:35.25/772","127:04.01/371",37.5962,127.067048
"29435","22","2.1GHz(20M)","37:35.16/960","127:03.46/820",37.599333,127.063006
"29435","24","2.1GHz(20M)","37:35.22/360","127:03.40/570",37.589333,127.061269
"29435","25","2.1GHz(20M)","37:35.22/360","127:03.40/570",37.589333,127.061269
"29435","27","2.1GHz(20M)","37:35.30/360","127:3.59/570",37.589333,127.066547
"29435","28","2.1GHz(20M)","37:35.30/360","127:3.59/570",37.589333,127.066547
"29435","4","800MHz","37:35.22/360","127:03.40/570",37.589333,127.061269
"29435","42","2.6GHz","37:35.16/053","127:03.47/302",37.584217,127.063139
"29435","44","2.6GHz","37:35.22/595","127:03.40/570",37.59325,127.061269
"29435","45","2.6GHz","37:35.22/595","127:03.40/570",37.59325,127.061269
"29435","47","2.6GHz","37:35.30/171","127:03.59/808",37.586183,127.066613
"29435","48","2.6GHz","37:35.30/171","127:03.59/808",37.586183,127.066613
"29435","5","800MHz","37:35.22/360","127:03.40/570",37.589333,127.061269
"29435","7","800MHz","37:35.30/360","127:3.59/570",37.589333,127.066547
"29435","8","800MHz","37:35.30/84 ","127:3.59/525",37.597333,127.066535
"29436","1","800MHz","37:35.16/657","127:03.33/554",37.594283,127.059321
"29436","11","1.8GHz(20M)","37:35.16/657","127:03.33/554",37.594283,127.059321
"29436","12","1.8GHz(20M)","37:35.12/080","127:03.38/510",37.584667,127.060697
"29436","14","1.8GHz(20M)","37:35.10/300","127:03.19/720",37.588333,127.055478
"29436","15","1.8GHz(20M)","37:35.06/910","127:03.38/460",37.5985,127.060683
"29436","17","1.8GHz(20M)","37:35.12/130","127:03.30/100",37.5855,127.058361
"29436","18","1.8GHz(20M)","37:35.13/278","127:03.24/434",37.587967,127.056787
"29436","2","800MHz","37:35.12/080","127:03.38/510",37.584667,127.060697
"29436","21","2.1GHz(20M)","37:35.16/657","127:03.33/554",37.594283,127.059321
"29436","22","2.1GHz(20M)","37:35.12/080","127:03.38/510",37.584667,127.060697
"29436","25","2.1GHz(20M)","37:35.06/911","127:03.38/471",37.598517,127.060686
"29436","27","2.1GHz(20M)","37:35.12/130","127:03.30/000",37.5855,127.058333
"29436","28","2.1GHz(20M)","37:35.13/278","127:03.24/434",37.587967,127.056787
"29436","4","800MHz","37:35.10/300","127:03.19/720",37.588333,127.055478
"29436","41","2.6GHz","37:35.16/836","127:30.33/252",37.597267,127.509237
"29436","42","2.6GHz","37:35.12/125","127:03.38/285",37.585417,127.060635
"29436","44","2.6GHz","37:35.10/981","127:03.19/758",37.599683,127.055488
"29436","45","2.6GHz","37:35.12/56 ","127:2.16/553",37.592667,127.037931
"29436","47","2.6GHz","37:35.12/261","127:03.30/095",37.587683,127.05836
"29436","48","2.6GHz","37:35.13/448","127:03.24/448",37.5908,127.056791
"29436","5","800MHz","37:35.12/56 ","127:2.16/553",37.592667,127.037931
"29436","7","800MHz","37:35.12/130","127:03.30/000",37.5855,127.058333
"29436","8","800MHz","37:35.13/278","127:03.24/434",37.587967,127.056787
"29437","1","800MHz","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","11","1.8GHz(20M)","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","12","1.8GHz(20M)","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","14","1.8GHz(20M)","37:34.39/57 ","127:2.20/79 ",37.576167,127.039108
"29437","15","1.8GHz(20M)","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","17","1.8GHz(20M)","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","18","1.8GHz(20M)","37:34.44/003","127:02.16/009",37.566717,127.03778
"29437","2","800MHz","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","21","2.1GHz(20M)","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","22","2.1GHz(20M)","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","24","2.1GHz(20M)","37:34.39/570","127:2.20/790",37.576167,127.039108
"29437","25","2.1GHz(20M)","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","27","2.1GHz(20M)","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","4","800MHz","37:34.38/57 ","127:2.18/79 ",37.576167,127.038553
"29437","44","2.6GHz","37:34.38/150","127:02.18/970",37.569167,127.038603
"29437","5","800MHz","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","7","800MHz","37:34.45/045","127:02.52/044",37.567417,127.04779
"29437","8","800MHz","37:34.44/003","127:02.16/009",37.566717,127.03778
"29438","1","800MHz","37:35.46/162","127:03.11/024",37.586033,127.053062
"29438","11","1.8GHz(20M)","37:35.46/162","127:03.11/024",37.586033,127.053062
"29438","12","1.8GHz(20M)","37:35.35/800","127:3.10/312",37.596667,127.052864
"29438","14","1.8GHz(20M)","37:35.37/45 ","127:3.1/298",37.590833,127.050361
"29438","15","1.8GHz(20M)","37:35.41/221","127:03.06/718",37.587017,127.051866
"29438","17","1.8GHz(20M)","37:35.41/221","127:03.06/718",37.587017,127.051866
"29438","18","1.8GHz(20M)","37:35.46/94 ","127:3.11/3  ",37.599,127.053139
"29438","2","800MHz","37:35.35/800","127:3.10/312",37.596667,127.052864
"29438","21","2.1GHz(20M)","37:35.12/56 ","127:2.16/553",37.592667,127.037931
"29438","22","2.1GHz(20M)","37:35.35/800","127:3.10/312",37.596667,127.052864
"29438","24","2.1GHz(20M)","37:35.43/972","127:2.54/82 ",37.599533,127.048561
"29438","25","2.1GHz(20M)","37:35.41/943","127:3.6/343",37.59905,127.051762
"29438","27","2.1GHz(20M)","37:35.41/942","127:3.6/322",37.599033,127.051756
"29438","28","2.1GHz(20M)","37:35.41/942","127:3.6/323",37.599033,127.051756
"29438","4","800MHz","37:35.37/45 ","127:3.1/298",37.590833,127.050361
"29438","42","2.6GHz","37:35.36/800","127:03.10/598",37.596667,127.052944
"29438","5","800MHz","37:35.41/221","127:03.06/718",37.587017,127.051866
"29438","7","800MHz","37:35.41/221","127:03.06/718",37.587017,127.051866
"29438","8","800MHz","37:35.41/221","127:3.6/718",37.587017,127.051866
"29760","1","800MHz","37:35.3/768","127:4.5/943",37.596133,127.068318
"29760","11","1.8GHz(20M)","37:35.3/768","127:4.5/943",37.596133,127.068318
"29760","12","1.8GHz(20M)","37:35.3/768","127:4.5/943",37.596133,127.068318
"29760","14","1.8GHz(20M)","37:35.2/80 ","127:4.15/60 ",37.596667,127.071
"29760","15","1.8GHz(20M)","37:34.51/185","127:4.8/841",37.56975,127.069122
"29760","17","1.8GHz(20M)","37:34.45/82 ","127:4.5/8  ",37.580333,127.068278
"29760","18","1.8GHz(20M)","37:34.42/628","127:4.9/565",37.577133,127.069324
"29760","2","800MHz","37:35.3/768","127:4.5/943",37.596133,127.068318
"29760","21","2.1GHz(20M)","37:35.3/768","127:4.5/943",37.596133,127.068318
"29760","22","2.1GHz(20M)","37:35.3/768","127:4.5/943",37.596133,127.068318
"29760","24","2.1GHz(20M)","37:35.2/800","127:4.15/600",37.596667,127.071
"29760","25","2.1GHz(20M)","37:34.51/930","127:4.8/980",37.582167,127.069161
"29760","27","2.1GHz(20M)","37:34.45/820","127:4.5/80 ",37.580333,127.068278
"29760","28","2.1GHz(20M)","37:34.42/660","127:4.9/500",37.577667,127.069306
"29760","4","800MHz","37:35.2/80 ","127:4.15/60 ",37.596667,127.071
"29760","41","2.6GHz","37:35.03/538","127:04.06/012",37.5923,127.068337
"29760","42","2.6GHz","37:35.03/538","127:04.06/012",37.5923,127.068337
"29760","45","2.6GHz","37:34.52/666","127:04.08/008",37.577767,127.068891
"29760","5","800MHz","37:34.55/93 ","127:4.7/98 ",37.582167,127.068883
"29760","7","800MHz","37:34.45/82 ","127:4.5/8  ",37.580333,127.068278
"29760","8","800MHz","37:34.42/66 ","127:4.9/50 ",37.577667,127.069306
"29761","1","800MHz","37:34.0/605","127:3.33/800",37.57675,127.059389
"29761","11","1.8GHz(20M)","37:34.0/605","127:3.33/800",37.57675,127.059389
"29761","12","1.8GHz(20M)","37:33.57/60 ","127:3.34/40 ",37.56,127.059556
"29761","14","1.8GHz(20M)","37:34.18/969","127:3.5/483",37.582817,127.051523
"29761","15","1.8GHz(20M)","37:33.55/546","127:03.19/564",37.5591,127.055434
"29761","17","1.8GHz(20M)","37:34.7/137","127:3.47/546",37.56895,127.063207
"29761","18","1.8GHz(20M)","37:34.7/111","127:3.47/464",37.568517,127.063184
"29761","2","800MHz","37:33.57/60 ","127:3.34/40 ",37.56,127.059556
"29761","21","2.1GHz(20M)","37:34.0/605","127:3.33/800",37.57675,127.059389
"29761","22","2.1GHz(20M)","37:33.57/600","127:3.40/400",37.56,127.061222
"29761","24","2.1GHz(20M)","37:34.0/80 ","127:3.24/150",37.58,127.056708
"29761","27","2.1GHz(20M)","37:34.6/860","127:3.46/910",37.581,127.063031
"29761","28","2.1GHz(20M)","37:34.6/860","127:3.46/910",37.581,127.063031
"29761","4","800MHz","37:33.59/868","127:3.24/268",37.564467,127.056741
"29761","41","2.6GHz","37:34.00/608","127:03.33/786",37.5768,127.059385
"29761","42","2.6GHz","37:33.57/457","127:03.40/112",37.557617,127.061142
"29761","5","800MHz","37:33.55/546","127:03.19/564",37.5591,127.055434
"29761","7","800MHz","37:34.6/860","127:3.46/910",37.581,127.063031
"29761","8","800MHz","37:34.6/86 ","127:3.46/91 ",37.581,127.063031
"29762","1","800MHz","37:34.15/63 ","127:3.44/9  ",37.577167,127.062472
"29762","11","1.8GHz(20M)","37:34.15/63 ","127:3.44/9  ",37.577167,127.062472
"29762","12","1.8GHz(20M)","37:34.5/41 ","127:3.39/85 ",37.5735,127.061069
"29762","14","1.8GHz(20M)","37:34.30/585","127:3.40/148",37.576417,127.061152
"29762","15","1.8GHz(20M)","37:34.21/621","127:3.37/62 ",37.577017,127.06045
"29762","17","1.8GHz(20M)","37:34.11/944","127:3.33/548",37.5824,127.059319
"29762","18","1.8GHz(20M)","37:34.11/944","127:3.33/548",37.5824,127.059319
"29762","2","800MHz","37:34.5/41","127:3.39/85",37.5735,127.061069
"29762","21","2.1GHz(20M)","37:34.15/635","127:3.44/926",37.57725,127.062479
"29762","22","2.1GHz(20M)","37:34.5/410","127:3.39/850",37.5735,127.061069
"29762","24","2.1GHz(20M)","37:34.30/390","127:3.40/940",37.573167,127.061372
"29762","25","2.1GHz(20M)","37:34.21/621","127:3.37/620",37.577017,127.06045
"29762","27","2.1GHz(20M)","37:34.11/876","127:3.33/454",37.581267,127.059293
"29762","28","2.1GHz(20M)","37:34.7/268","127:3.33/454",37.571133,127.059293
"29762","4","800MHz","37:34.30/591","127:3.40/147",37.576517,127.061152
"29762","41","2.6GHz","37:34.13/063","127:03.44/009",37.567717,127.062225
"29762","44","2.6GHz","37:34.29/423","127:03.40/237",37.573717,127.061177
"29762","48","2.6GHz","37:34.07/611","127:03.33/539",37.57685,127.059316
"29762","5","800MHz","37:34.21/621","127:3.37/62 ",37.577017,127.06045
"29762","7","800MHz","37:34.11/643","127:3.33/316",37.577383,127.059254
"29762","8","800MHz","37:34.7/268","127:3.33/454",37.571133,127.059293
"29763","1","800MHz","37:34.5/509","127:4.29/840",37.57515,127.074956
"29763","11","1.8GHz(20M)","37:34.5/509","127:4.29/840",37.57515,127.074956
"29763","12","1.8GHz(20M)","37:34.14/524","127:04.13/224",37.5754,127.07034
"29763","14","1.8GHz(20M)","37:33.50/609","127:4.19/639",37.56015,127.072122
"29763","15","1.8GHz(20M)","37:33.47/91 ","127:4.13/19 ",37.565167,127.070331
"29763","17","1.8GHz(20M)","37:33.56/441","127:4.1/552",37.55735,127.067098
"29763","18","1.8GHz(20M)","37:33.52/64 ","127:4.8/90 ",37.560667,127.069139
"29763","2","800MHz","37:34.14/667","127:04.13/908",37.577783,127.07053
"29763","21","2.1GHz(20M)","37:34.5/509","127:4.29/840",37.57515,127.074956
"29763","22","2.1GHz(20M)","37:34.14/524","127:04.13/224",37.5754,127.07034
"29763","24","2.1GHz(20M)","37:33.50/609","127:4.19/639",37.56015,127.072122
"29763","25","2.1GHz(20M)","37:33.47/910","127:4.13/190",37.565167,127.070331
"29763","27","2.1GHz(20M)","37:33.53/441","127:4.12/552",37.55735,127.070153
"29763","28","2.1GHz(20M)","37:33.52/640","127:4.8/900",37.560667,127.069139
"29763","4","800MHz","37:33.50/67 ","127:4.19/73 ",37.561167,127.072147
"29763","41","2.6GHz","37:34.05/509","127:04.29/840",37.57515,127.074956
"29763","45","2.6GHz","37:33.48/159","127:04.14/268",37.55265,127.07063
