"eNB","cell","radio","lat","lon","lat_1_re","lon_1_re"
"26543","8","2.1GHz(20M)","37:35.42/740","127:4.3/20 ",37.595667,127.067556
"26543","9","800MHz","37:35.17/760","127:4.7/810",37.596,127.068836
"26544","1","800MHz","37:34.48/002","127:02.51/078",37.5667,127.047522
"26544","10","800MHz","37:35.51/633","127:03.29/804",37.593883,127.058279
"26544","11","800MHz","37:35.18/322","127:02.55/776",37.5887,127.048827
"26544","12","1.8GHz(20M)","37:34.43/056","127:02.30/033",37.5676,127.041676
"26544","14","1.8GHz(20M)","37:35.12/516","127:2.16/894",37.591933,127.038026
"26544","15","1.8GHz(20M)","37:35.12/516","127:2.16/894",37.591933,127.038026
"26544","16","1.8GHz(20M)","37:35.50/745","127:03.31/344",37.59575,127.058707
"26544","17","1.8GHz(20M)","37:33.50/962","127:03.50/971",37.566033,127.064159
"26544","18","800MHz","37:34.43/056","127:02.30/033",37.5676,127.041676
"26544","2","800MHz","37:35.12/516","127:2.16/894",37.591933,127.038026
"26544","20","800MHz","37:35.12/516","127:2.16/894",37.591933,127.038026
"26544","27","800MHz","37:35.12/516","127:2.16/894",37.591933,127.038026
"26544","28","800MHz","37:35.50/745","127:03.31/344",37.59575,127.058707
"26544","29","800MHz","37:33.50/962","127:03.50/971",37.566033,127.064159
"26544","3","1.8GHz(20M)","37:36.8/470","127:4.16/530",37.607833,127.071258
"26544","4","1.8GHz(20M)","37:34.48/002","127:02.51/078",37.5667,127.047522
"26544","5","1.8GHz(20M)","37:33.50/962","127:03.50/971",37.566033,127.064159
"26544","6","1.8GHz(20M)","37:35.12/516","127:2.16/894",37.591933,127.038026
"26544","7","1.8GHz(20M)","37:35.51/633","127:03.29/804",37.593883,127.058279
"26544","8","1.8GHz(20M)","37:35.19/186","127:02.56/844",37.586433,127.049123
"26544","8","1.8GHz(20M)","37:35.17/186","127:02.55/844",37.586433,127.048846
"26544","8","1.8GHz(20M)","37:35.17/186","127:02.57/844",37.586433,127.049401
"26544","8","1.8GHz(20M)","37:35.17/186","127:02.55/844",37.586433,127.048846
"26544","9","800MHz","37:35.12/516","127:2.16/894",37.591933,127.038026
"26545","0","800MHz","37:35.21/594","127:03.52/011",37.593233,127.064448
"26545","10","800MHz","37:35.12/516","127:2.16/894",37.591933,127.038026
"26545","11","800MHz","37:34.40/109","127:02.02/231",37.568483,127.033953
"26545","12","1.8GHz(20M)","37:35.25/427","127:04.36/556",37.59045,127.076821
"26545","13","1.8GHz(20M)","37:35.12/516","127:2.16/894",37.591933,127.038026
"26545","16","1.8GHz(20M)","37:33.50/962","127:03.50/971",37.566033,127.064159
"26545","17","1.8GHz(20M)","37:35.46/29 ","127:4.3/25 ",37.588167,127.067569
"26545","18","800MHz","37:35.25/427","127:04.36/556",37.59045,127.076821
"26545","19","800MHz","37:35.12/516","127:2.16/894",37.591933,127.038026
"26545","20","800MHz","37:34.45/945","127:01.51/358",37.582417,127.030933
"26545","28","800MHz","37:33.50/962","127:03.50/971",37.566033,127.064159
"26545","29","800MHz","37:35.46/29","127:4.3/25",37.588167,127.067569
"26545","3","1.8GHz(20M)","37:35.21/594","127:03.52/011",37.593233,127.064448
"26545","6","1.8GHz(20M)","37:35.26/073","127:02.40/063",37.58455,127.044462
"26545","7","1.8GHz(20M)","37:35.12/516","127:2.16/894",37.591933,127.038026
"26545","8","1.8GHz(20M)","37:34.40/109","127:02.02/231",37.568483,127.033953
"26545","9","800MHz","37:35.26/073","127:02.40/063",37.58455,127.044462
"26546","0","800MHz","37:33.50/962","127:03.50/971",37.566033,127.064159
"26546","1","800MHz","37:33.50/962","127:03.50/971",37.566033,127.064159
"26546","10","800MHz","37:34.29/44 ","127:1.34/263",37.574,127.026184
"26546","12","1.8GHz(20M)","37:33.50/962","127:03.50/971",37.566033,127.064159
"26546","13","1.8GHz(20M)","37:34.18/010","126:59.53/084",37.566833,126.998079
"26546","16","1.8GHz(20M)","37:34.28/487","127:02.19/888",37.574783,127.038858
"26546","17","1.8GHz(20M)","37:34.42/688","127:02.11/443",37.578133,127.036512
"26546","18","800MHz","37:33.50/962","127:03.50/971",37.566033,127.064159
"26546","19","800MHz","37:34.18/010","126:59.53/084",37.566833,126.998079
"26546","2","800MHz","37:34.29/044","127:01.34/263",37.5674,127.026184
"26546","27","800MHz","37:34.40/123","127:02.15/683",37.568717,127.03769
"26546","28","800MHz","37:34.28/487","127:02.19/888",37.574783,127.038858
"26546","29","800MHz","37:34.42/688","127:02.11/443",37.578133,127.036512
"26546","4","1.8GHz(20M)","37:33.50/962","127:03.50/971",37.566033,127.064159
"26546","7","1.8GHz(20M)","37:34.29/440","127:1.34/263",37.574,127.026184
"26547","0","800MHz","37:35.44/491","127:03.30/849",37.591517,127.058569
"26547","1","800MHz","37:35.41/521","127:3.36/526",37.592017,127.060146
"26547","10","800MHz","37:35.37/94 ","127:3.32/121",37.599,127.058922
"26547","11","800MHz","37:35.31/73 ","127:3.31/84 ",37.5955,127.058844
"26547","12","1.8GHz(20M)","37:35.44/491","127:03.30/849",37.591517,127.058569
"26547","13","1.8GHz(20M)","37:35.37/94 ","127:3.32/121",37.599,127.058922
"26547","14","1.8GHz(20M)","37:35.31/73 ","127:3.31/84 ",37.5955,127.058844
"26547","15","2.1GHz(20M)","37:35.44/491","127:03.30/849",37.591517,127.058569
"26547","17","2.1GHz(20M)","37:35.31/732","127:3.31/842",37.595533,127.058845
"26547","2","800MHz","37:35.44/491","127:03.30/849",37.591517,127.058569
"26547","3","1.8GHz(20M)","37:35.44/491","127:03.30/849",37.591517,127.058569
"26547","4","1.8GHz(20M)","37:35.41/521","127:3.36/526",37.592017,127.060146
"26547","5","1.8GHz(20M)","37:35.44/491","127:03.30/849",37.591517,127.058569
"26547","6","2.1GHz(20M)","37:35.44/491","127:03.30/849",37.591517,127.058569
"26547","7","2.1GHz(20M)","37:35.41/521","127:3.36/526",37.592017,127.060146
"26547","9","800MHz","37:35.44/491","127:03.30/849",37.591517,127.058569
"26573","0","800MHz","37:35.47/140","127:5.36/550",37.585667,127.093486
"26573","1","800MHz","37:35.55/7  ","127:4.57/69 ",37.595,127.082692
"26573","10","800MHz","37:35.17/69 ","127:6.5/24 ",37.594833,127.101456
"26573","12","1.8GHz(20M)","37:35.55/005","127:04.52/005",37.583417,127.081112
"26573","13","1.8GHz(20M)","37:35.17/69 ","127:6.5/24 ",37.594833,127.101456
"26573","2","800MHz","37:35.15/590","127:6.2/670",37.593167,127.100742
"26573","3","1.8GHz(20M)","37:35.47/140","127:05.36/550",37.585667,127.093486
"26573","4","1.8GHz(20M)","37:35.55/7  ","127:4.57/69 ",37.595,127.082692
"26573","5","1.8GHz(20M)","37:35.15/59 ","127:6.2/67 ",37.593167,127.100742
"26573","8","2.1GHz(20M)","37:35.15/594","127:6.2/675",37.593233,127.100743
"26573","9","800MHz","37:35.55/005","127:04.52/005",37.583417,127.081112
"26574","0","800MHz","37:34.38/64 ","127:5.25/40 ",37.577333,127.090389
"26574","1","800MHz","37:34.43/45","127:5.9/61",37.574167,127.086003
"26574","10","800MHz","37:34.50/662","127:5.8/852",37.5777,127.085792
"26574","11","800MHz","37:35.09/626","127:05.29/017",37.593767,127.091394
"26574","12","1.8GHz(20M)","37:34.42/005","127:05.36/007",37.56675,127.093335
"26574","13","1.8GHz(20M)","37:34.50/662","127:5.8/852",37.5777,127.085792
"26574","14","1.8GHz(20M)","37:35.09/626","127:05.29/017",37.593767,127.091394
"26574","16","2.1GHz(20M)","37:34.50/662","127:5.8/852",37.5777,127.085792
"26574","2","800MHz","37:34.38/320","127:5.13/590",37.572,127.087108
"26574","3","1.8GHz(20M)","37:34.38/64 ","127:5.25/40 ",37.577333,127.090389
"26574","4","1.8GHz(20M)","37:34.43/45 ","127:5.9/61 ",37.574167,127.086003
"26574","5","1.8GHz(20M)","37:34.38/320","127:5.13/590",37.572,127.087108
"26574","6","2.1GHz(20M)","37:34.38/640","127:5.25/400",37.577333,127.090389
"26574","7","2.1GHz(20M)","37:34.43/450","127:5.9/610",37.574167,127.086003
"26574","8","2.1GHz(20M)","37:34.38/320","127:5.13/590",37.572,127.087108
"26574","9","800MHz","37:34.42/005","127:05.36/007",37.56675,127.093335
"26575","0","800MHz","37:36.54/28 ","127:5.5/85 ",37.604667,127.084958
"26575","1","800MHz","37:36.14/46 ","127:5.53/51 ",37.607667,127.098197
"26575","10","800MHz","37:36.43/880","127:04.46/950",37.614667,127.079708
"26575","11","800MHz","37:36.54/629","127:06.12/890",37.610483,127.103581
