,complexinfo,FREQUENCY,CELL_ID,ConnNoAvg,ConnNoMax,ConnNoTot,ConnNoCnt,ReleaseCallHoldingTimeAvg,ReleaseCallHoldingTimeTot,ReleaseCallHoldingTimeCnt,eNB,time
0,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum15,18.78,28,2817,150,18.67,5602,300,1-26507,09:05
1,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum8,15.59,24,2339,150,20.42,4165,204,1-26507,09:05
2,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum12,22.15,33,3323,150,19.9,7224,363,1-26507,09:05
3,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum3,32.21,44,4831,150,16.32,7932,486,1-26507,09:05
4,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum10,21.2,31,3180,150,23.32,7486,321,1-26507,09:05
5,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum9,19.17,26,2876,150,30.58,7584,248,1-26507,09:05
6,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum2,9.06,14,1359,150,16.09,2092,130,1-26507,09:05
7,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum1,9.11,14,1367,150,21.44,3667,171,1-26507,09:05
8,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum0,15.91,22,2387,150,16.38,4309,263,1-26507,09:05
9,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum5,13.52,22,2028,150,19.14,3005,157,1-26507,09:05
10,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum17,11.11,19,1667,150,18.07,3072,170,1-26507,09:05
11,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum7,46.39,63,6958,150,19.93,13969,701,1-26507,09:05
12,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum14,10.0,16,1500,150,17.19,2871,167,1-26507,09:05
13,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum6,33.22,51,4983,150,20.16,10222,507,1-26507,09:05
14,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum4,31.05,45,4658,150,19.02,8998,473,1-26507,09:05
15,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum11,6.31,12,946,150,19.42,1612,83,1-26507,09:05
16,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum13,33.34,44,5001,150,14.06,9575,681,1-26507,09:05
17,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum16,54.92,76,8238,150,15.38,15444,1004,1-26507,09:05
18,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum10,12.09,18,1814,150,13.98,4011,287,1-26507,09:10
19,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum15,18.6,27,2790,150,15.66,4760,304,1-26507,09:10
20,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum7,41.03,53,6154,150,21.19,12457,588,1-26507,09:10
21,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum1,6.25,11,938,150,26.95,3099,115,1-26507,09:10
22,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum6,26.93,38,4039,150,15.74,7636,485,1-26507,09:10
