,complexinfo,FREQUENCY,CELL_ID,ConnNoAvg,ConnNoMax,ConnNoTot,ConnNoCnt,ReleaseCallHoldingTimeAvg,ReleaseCallHoldingTimeTot,ReleaseCallHoldingTimeCnt,eNB,time
0,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum16,51.97,67,7795,150,14.55,14293,982,1-26507,09:05
1,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum15,21.02,32,3153,150,17.92,5787,323,1-26507,09:05
2,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum12,17.54,28,2631,150,12.85,4458,347,1-26507,09:05
3,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum3,23.9,33,3585,150,16.01,6468,404,1-26507,09:05
4,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum10,17.4,28,2610,150,19.4,4869,251,1-26507,09:05
5,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum9,14.07,21,2111,150,18.3,4227,231,1-26507,09:05
6,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum2,10.05,16,1507,150,19.2,2112,110,1-26507,09:05
7,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum1,9.96,18,1494,150,21.86,4371,200,1-26507,09:05
8,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum17,13.28,20,1992,150,13.84,2781,201,1-26507,09:05
9,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum8,12.16,25,1824,150,18.69,2915,156,1-26507,09:05
10,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum7,37.69,59,5653,150,19.54,11098,568,1-26507,09:05
11,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum14,14.26,23,2139,150,16.67,2968,178,1-26507,09:05
12,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum6,28.51,39,4277,150,18.44,8796,477,1-26507,09:05
13,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum13,40.32,54,6048,150,17.33,12249,707,1-26507,09:05
14,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum5,17.14,26,2571,150,28.31,5238,185,1-26507,09:05
15,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum11,6.32,12,948,150,19.98,1798,90,1-26507,09:05
16,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum4,32.29,57,4844,150,17.79,9182,516,1-26507,09:05
17,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum0,15.45,22,2318,150,24.32,5619,231,1-26507,09:05
18,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum14,14.81,20,2222,150,30.76,5506,179,1-26507,09:10
19,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum16,46.13,65,6920,150,14.72,14031,953,1-26507,09:10
20,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum9,14.84,22,2226,150,24.59,6418,261,1-26507,09:10
21,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum3,23.83,32,3575,150,15.16,6049,399,1-26507,09:10
22,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum10,18.19,26,2729,150,15.87,4968,313,1-26507,09:10
23,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum7,32.63,51,4895,150,18.63,9071,487,1-26507,09:10
24,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum4,29.28,42,4392,150,17.36,7377,425,1-26507,09:10
25,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum6,27.09,41,4064,150,16.36,7478,457,1-26507,09:10
26,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum2,10.42,17,1563,150,22.68,2835,125,1-26507,09:10
27,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum11,6.05,11,907,150,18.29,1390,76,1-26507,09:10
28,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum1,8.23,15,1234,150,15.77,2365,150,1-26507,09:10
29,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum15,18.51,25,2777,150,16.88,4590,272,1-26507,09:10
30,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum0,14.05,21,2108,150,17.19,4075,237,1-26507,09:10
31,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum5,15.01,22,2252,150,29.19,5254,180,1-26507,09:10
32,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum13,33.65,52,5047,150,15.17,10419,687,1-26507,09:10
33,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum12,21.0,31,3150,150,14.83,5278,356,1-26507,09:10
34,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum8,14.53,24,2179,150,20.72,3232,156,1-26507,09:10
35,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum17,11.85,19,1777,150,19.86,3515,177,1-26507,09:10
36,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),2.1GHz(20M),cNum16,47.01,66,7051,150,17.84,16538,927,1-26507,09:15
37,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),2.1GHz(20M),cNum17,10.19,18,1528,150,14.73,2239,152,1-26507,09:15
38,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),800MHz,cNum0,17.07,24,2560,150,17.39,4608,265,1-26507,09:15
39,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),800MHz,cNum1,7.8,13,1170,150,13.9,2349,169,1-26507,09:15
40,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),1.8GHz(20M),cNum4,24.81,37,3722,150,22.57,8283,367,1-26507,09:15
41,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),800MHz,cNum10,14.4,20,2160,150,11.51,3154,274,1-26507,09:15
