"FREQUENCY","cellid","lat","lon"
"800MHz","1-29775-7",37.579333,127.071461
"800MHz","1-29775-8",37.579333,127.071461
"800MHz","1-29776-1",37.5797,127.068911
"1.8GHz(20M)","1-29776-11",37.5797,127.068911
"1.8GHz(20M)","1-29776-12",37.573,127.071047
"1.8GHz(20M)","1-29776-14",37.581833,127.069558
"1.8GHz(20M)","1-29776-15",37.581167,127.070231
"1.8GHz(20M)","1-29776-17",37.577833,127.066206
"1.8GHz(20M)","1-29776-18",37.574167,127.067536
"800MHz","1-29776-2",37.573,127.071047
"2.1GHz(20M)","1-29776-22",37.573,127.071047
"2.1GHz(20M)","1-29776-24",37.581833,127.069558
"2.1GHz(20M)","1-29776-25",37.581,127.070158
"2.1GHz(20M)","1-29776-27",37.577833,127.066206
"2.1GHz(20M)","1-29776-28",37.574167,127.067536
"800MHz","1-29776-4",37.581833,127.069558
"800MHz","1-29776-5",37.581,127.070158
"800MHz","1-29776-7",37.577833,127.066206
"800MHz","1-29776-8",37.574167,127.067536
"800MHz","1-29777-1",37.569333,127.052033
"1.8GHz(20M)","1-29777-11",37.56985,127.052046
"1.8GHz(20M)","1-29777-12",37.577367,127.052254
"1.8GHz(20M)","1-29777-14",37.570667,127.049611
"1.8GHz(20M)","1-29777-15",37.56985,127.052046
"1.8GHz(20M)","1-29777-17",37.567767,127.052387
"1.8GHz(20M)","1-29777-18",37.583167,127.054539
"800MHz","1-29777-2",37.57805,127.052298
"2.1GHz(20M)","1-29777-21",37.56985,127.052046
"2.1GHz(20M)","1-29777-22",37.578,127.052297
"2.1GHz(20M)","1-29777-24",37.570667,127.049611
"2.1GHz(20M)","1-29777-25",37.56985,127.052046
"2.1GHz(20M)","1-29777-28",37.583167,127.054539
"800MHz","1-29777-4",37.570667,127.049611
"800MHz","1-29777-5",37.569333,127.052033
"800MHz","1-29777-7",37.567767,127.052387
"800MHz","1-29777-8",37.583167,127.054539
"800MHz","1-29778-1",37.581383,127.057062
"1.8GHz(20M)","1-29778-11",37.581383,127.057062
"1.8GHz(20M)","1-29778-12",37.583233,127.052302
"1.8GHz(20M)","1-29778-14",37.573483,127.053419
"1.8GHz(20M)","1-29778-15",37.5787,127.052311
"1.8GHz(20M)","1-29778-17",37.581383,127.057062
"1.8GHz(20M)","1-29778-18",37.581383,127.057062
"800MHz","1-29778-2",37.583233,127.052302
"2.1GHz(20M)","1-29778-21",37.581383,127.057062
"2.1GHz(20M)","1-29778-22",37.583233,127.052302
"2.1GHz(20M)","1-29778-25",37.575333,127.052258
"2.1GHz(20M)","1-29778-27",37.581383,127.057062
"2.1GHz(20M)","1-29778-28",37.581383,127.057062
"800MHz","1-29778-4",37.573483,127.053419
"800MHz","1-29778-5",37.575333,127.052258
"800MHz","1-29778-7",37.581383,127.057062
"800MHz","1-29778-8",37.581383,127.057062
"800MHz","1-29779-1",37.568667,127.049675
"1.8GHz(20M)","1-29779-11",37.568667,127.049675
"1.8GHz(20M)","1-29779-12",37.570167,127.048711
"1.8GHz(20M)","1-29779-14",37.5785,127.050672
"1.8GHz(20M)","1-29779-15",37.58,127.046944
"1.8GHz(20M)","1-29779-17",37.566,127.068925
"1.8GHz(20M)","1-29779-18",37.582333,127.070972
"800MHz","1-29779-2",37.570167,127.048711
"2.1GHz(20M)","1-29779-21",37.568667,127.049675
"2.1GHz(20M)","1-29779-22",37.570167,127.048711
"2.1GHz(20M)","1-29779-24",37.5785,127.050672
"2.1GHz(20M)","1-29779-25",37.58,127.046944
"2.1GHz(20M)","1-29779-27",37.566,127.068925
"2.1GHz(20M)","1-29779-28",37.582333,127.070972
"800MHz","1-29779-4",37.5785,127.050672
"800MHz","1-29779-5",37.58,127.046944
"800MHz","1-29779-7",37.555667,127.069136
"800MHz","1-29779-8",37.582333,127.070972
