,complexinfo,FREQUENCY,CELL_ID,ConnNoAvg,ConnNoMax,ConnNoTot,ConnNoCnt,ReleaseCallHoldingTimeAvg,ReleaseCallHoldingTimeTot,ReleaseCallHoldingTimeCnt,eNB,time
0,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum15,22.43,34,3364,150,18.89,5798,307,1-26507,09:05
1,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum13,37.35,55,5602,150,16.17,11495,711,1-26507,09:05
2,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum5,11.97,20,1795,150,24.84,3626,146,1-26507,09:05
3,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum4,31.93,44,4790,150,21.42,9938,464,1-26507,09:05
4,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum6,24.0,35,3600,150,15.97,6547,410,1-26507,09:05
5,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum11,6.19,10,929,150,16.06,1285,80,1-26507,09:05
6,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum10,23.27,30,3490,150,17.32,7051,407,1-26507,09:05
7,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum1,12.09,19,1813,150,19.41,3765,194,1-26507,09:05
8,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum0,19.28,28,2892,150,19.26,5488,285,1-26507,09:05
9,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum17,8.46,14,1269,150,15.05,2302,153,1-26507,09:05
10,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum9,19.85,31,2978,150,18.45,4502,244,1-26507,09:05
11,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum2,8.5,14,1275,150,59.5,7259,122,1-26507,09:05
12,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum7,36.87,55,5530,150,19.1,11134,583,1-26507,09:05
13,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum3,29.95,44,4493,150,16.17,8099,501,1-26507,09:05
14,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum14,12.23,18,1835,150,17.06,3684,216,1-26507,09:05
15,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum8,13.26,24,1989,150,21.62,3676,170,1-26507,09:05
16,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum16,51.32,69,7698,150,14.49,15228,1051,1-26507,09:05
17,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum12,19.96,31,2994,150,20.12,6781,337,1-26507,09:05
18,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum12,21.11,32,3166,150,13.45,4774,355,1-26507,09:10
19,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum5,11.45,19,1718,150,23.68,3244,137,1-26507,09:10
20,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum11,6.89,12,1033,150,26.14,2039,78,1-26507,09:10
21,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum2,12.83,18,1925,150,26.03,3462,133,1-26507,09:10
22,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum9,16.03,23,2405,150,26.04,5781,222,1-26507,09:10
23,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum1,9.89,15,1484,150,22.54,3246,144,1-26507,09:10
24,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum0,17.88,25,2682,150,21.46,6330,295,1-26507,09:10
25,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum17,7.29,15,1093,150,14.2,1789,126,1-26507,09:10
26,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum16,48.78,59,7317,150,15.05,14347,953,1-26507,09:10
27,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum8,14.1,23,2115,150,17.67,3145,178,1-26507,09:10
28,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum14,14.21,22,2132,150,16.12,3918,243,1-26507,09:10
29,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum7,33.05,52,4957,150,19.54,10473,536,1-26507,09:10
30,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum6,25.75,36,3863,150,15.8,6842,433,1-26507,09:10
31,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum13,30.29,41,4544,150,15.44,9326,604,1-26507,09:10
32,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum4,32.45,41,4868,150,20.75,9129,440,1-26507,09:10
33,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),1.8GHz(20M),cNum3,26.75,35,4012,150,17.92,8062,450,1-26507,09:10
34,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),800MHz,cNum10,15.65,23,2347,150,12.36,4488,363,1-26507,09:10
35,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum15,18.41,29,2761,150,17.19,4538,264,1-26507,09:10
36,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),1.8GHz(20M),cNum12,21.48,36,3222,150,13.11,5242,400,1-26507,09:15
37,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),1.8GHz(20M),cNum13,35.26,45,5289,150,15.32,10108,660,1-26507,09:15
38,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),2.1GHz(20M),cNum16,49.76,70,7464,150,14.15,14545,1028,1-26507,09:15
39,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),1.8GHz(20M),cNum4,28.97,40,4346,150,23.99,9235,385,1-26507,09:15
40,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),1.8GHz(20M),cNum3,28.83,43,4325,150,17.42,7977,458,1-26507,09:15
41,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),800MHz,cNum11,6.61,12,991,150,25.41,2160,85,1-26507,09:15
42,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),800MHz,cNum10,17.84,26,2676,150,14.13,4522,320,1-26507,09:15
43,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),2.1GHz(20M),cNum8,15.93,26,2390,150,21.23,3992,188,1-26507,09:15
44,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),800MHz,cNum1,8.26,17,1239,150,16.3,2135,131,1-26507,09:15
45,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),800MHz,cNum0,19.89,27,2983,150,17.31,5192,300,1-26507,09:15
46,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),800MHz,cNum9,21.05,32,3158,150,18.8,5284,281,1-26507,09:15
47,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),2.1GHz(20M),cNum15,20.7,32,3105,150,17.38,5543,319,1-26507,09:15
48,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),800MHz,cNum2,11.61,18,1741,150,14.71,1927,131,1-26507,09:15
49,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),2.1GHz(20M),cNum6,27.66,39,4149,150,17.43,7651,439,1-26507,09:15
50,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),1.8GHz(20M),cNum14,12.24,19,1836,150,18.19,4093,225,1-26507,09:15
51,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),2.1GHz(20M),cNum7,31.46,45,4719,150,18.34,8894,485,1-26507,09:15
52,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),2.1GHz(20M),cNum17,6.23,13,934,150,13.47,1468,109,1-26507,09:15
53,S동대문제기_동대문구B1LDN_10(1-26507):(09:10-09:15),1.8GHz(20M),cNum5,10.55,19,1583,150,22.18,2906,131,1-26507,09:15
54,S동대문제기_동대문구B1LDN_10(1-26507):(09:15-09:20),1.8GHz(20M),cNum4,26.59,38,3988,150,21.85,8325,381,1-26507,09:20
55,S동대문제기_동대문구B1LDN_10(1-26507):(09:15-09:20),800MHz,cNum9,30.29,39,4544,150,38.22,12039,315,1-26507,09:20
